compute CDER for magicdata-ramc
currently, compute dev set in 0.2 threshold mode
CTS-CN-F2F-2019-11-15-8 CDER = 0.033
CTS-CN-F2F-2019-11-15-9 CDER = 0.531
CTS-CN-F2F-2019-11-15-17 CDER = 0.288
CTS-CN-F2F-2019-11-15-26 CDER = 0.092
CTS-CN-F2F-2019-11-15-27 CDER = 0.138
CTS-CN-F2F-2019-11-15-37 CDER = 0.133
CTS-CN-F2F-2019-11-15-39 CDER = 0.055
CTS-CN-F2F-2019-11-15-45 CDER = 0.164
CTS-CN-F2F-2019-11-15-52 CDER = 0.112
CTS-CN-F2F-2019-11-15-53 CDER = 0.062
CTS-CN-F2F-2019-11-15-56 CDER = 0.129
CTS-CN-F2F-2019-11-15-65 CDER = 0.155
CTS-CN-F2F-2019-11-15-68 CDER = 0.118
CTS-CN-F2F-2019-11-15-73 CDER = 0.026
CTS-CN-F2F-2019-11-15-75 CDER = 0.085
CTS-CN-F2F-2019-11-15-77 CDER = 0.105
CTS-CN-F2F-2019-11-15-81 CDER = 0.247
CTS-CN-F2F-2019-11-15-82 CDER = 0.000
CTS-CN-F2F-2019-11-15-88 CDER = 0.074
CTS-CN-F2F-2019-11-15-91 CDER = 0.209
CTS-CN-F2F-2019-11-15-94 CDER = 0.301
CTS-CN-F2F-2019-11-15-100 CDER = 0.053
CTS-CN-F2F-2019-11-15-101 CDER = 0.248
CTS-CN-F2F-2019-11-15-105 CDER = 0.600
CTS-CN-F2F-2019-11-15-121 CDER = 0.114
CTS-CN-F2F-2019-11-15-123 CDER = 1.878
CTS-CN-F2F-2019-11-15-126 CDER = 0.041
CTS-CN-F2F-2019-11-15-128 CDER = 0.178
CTS-CN-F2F-2019-11-15-135 CDER = 0.142
CTS-CN-F2F-2019-11-15-138 CDER = 0.169
CTS-CN-F2F-2019-11-15-142 CDER = 0.215
CTS-CN-F2F-2019-11-15-144 CDER = 0.672
CTS-CN-F2F-2019-11-15-150 CDER = 0.121
CTS-CN-F2F-2019-11-15-151 CDER = 0.165
CTS-CN-F2F-2019-11-15-153 CDER = 0.262
Avg CDER : 0.239
currently, compute test set in 0.5 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.431
CTS-CN-F2F-2019-11-11-193 CDER = 0.108
CTS-CN-F2F-2019-11-11-198 CDER = 0.250
CTS-CN-F2F-2019-11-11-390 CDER = 0.267
CTS-CN-F2F-2019-11-11-423 CDER = 0.044
CTS-CN-F2F-2019-11-11-431 CDER = 0.333
CTS-CN-F2F-2019-11-11-716 CDER = 0.077
CTS-CN-F2F-2019-11-15-3 CDER = 0.038
CTS-CN-F2F-2019-11-15-8 CDER = 0.033
CTS-CN-F2F-2019-11-15-9 CDER = 0.333
CTS-CN-F2F-2019-11-15-17 CDER = 0.269
CTS-CN-F2F-2019-11-15-26 CDER = 0.074
CTS-CN-F2F-2019-11-15-27 CDER = 0.144
CTS-CN-F2F-2019-11-15-37 CDER = 0.089
CTS-CN-F2F-2019-11-15-39 CDER = 0.037
CTS-CN-F2F-2019-11-15-45 CDER = 0.145
CTS-CN-F2F-2019-11-15-52 CDER = 0.091
CTS-CN-F2F-2019-11-15-53 CDER = 0.050
CTS-CN-F2F-2019-11-15-56 CDER = 0.100
CTS-CN-F2F-2019-11-15-65 CDER = 0.139
CTS-CN-F2F-2019-11-15-68 CDER = 0.114
CTS-CN-F2F-2019-11-15-73 CDER = 0.000
CTS-CN-F2F-2019-11-15-75 CDER = 0.066
CTS-CN-F2F-2019-11-15-77 CDER = 0.105
CTS-CN-F2F-2019-11-15-81 CDER = 0.207
CTS-CN-F2F-2019-11-15-82 CDER = 0.000
CTS-CN-F2F-2019-11-15-88 CDER = 0.068
CTS-CN-F2F-2019-11-15-91 CDER = 0.197
CTS-CN-F2F-2019-11-15-94 CDER = 0.204
CTS-CN-F2F-2019-11-15-100 CDER = 0.015
CTS-CN-F2F-2019-11-15-101 CDER = 0.205
CTS-CN-F2F-2019-11-15-105 CDER = 0.600
CTS-CN-F2F-2019-11-15-121 CDER = 0.045
CTS-CN-F2F-2019-11-15-123 CDER = 0.169
CTS-CN-F2F-2019-11-15-126 CDER = 0.025
CTS-CN-F2F-2019-11-15-128 CDER = 0.146
CTS-CN-F2F-2019-11-15-135 CDER = 0.119
CTS-CN-F2F-2019-11-15-138 CDER = 0.132
CTS-CN-F2F-2019-11-15-142 CDER = 0.202
CTS-CN-F2F-2019-11-15-144 CDER = 0.561
CTS-CN-F2F-2019-11-15-150 CDER = 0.111
CTS-CN-F2F-2019-11-15-151 CDER = 0.130
CTS-CN-F2F-2019-11-15-153 CDER = 0.231
Avg CDER : 0.156
currently, compute test set in 0.55 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.313
CTS-CN-F2F-2019-11-11-193 CDER = 0.108
CTS-CN-F2F-2019-11-11-198 CDER = 0.197
CTS-CN-F2F-2019-11-11-390 CDER = 0.183
